
  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,yoke1 |   ailrn,yoke1 |   ruddr,yoke1 |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm |   thro1,_part |   thro1,_part | 
      5.28204 |       5.79601 |       5.81321 |       0.26735 |       6.07846 |       6.68972 |       0.30766 |       0.00880 |      -0.44762 |       0.99977 |       0.00205 |      -0.01225 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00106 |       0.00113 |       0.09500 |       0.19359 |       0.78803 |      61.15604 |      64.93325 |       0.20756 |      24.14037 |     167.98904 |       0.04604 |       0.11374 |      61.03084 |       3.65478 |      51.41981 |      -0.65834 |     212.05702 |       0.09225 |       1.00000 |     212.05678 |      50.00000 |      -2.00000 |  -10992.07324 |    -116.13116 |  -46744.73438 |       0.02862 |       0.00011 |       0.13453 |       1.34352 |       0.00022 |       0.30202 |       0.30202 | 
      5.30666 |       5.82723 |       5.84453 |       0.27028 |       6.10680 |       6.72576 |       0.31103 |       0.00884 |      -0.42542 |       1.00014 |       0.00206 |      -0.01249 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00012 |       0.00112 |       0.09102 |       0.18984 |       0.79544 |      61.62398 |      65.40120 |       0.21154 |      24.49713 |     168.28354 |       0.04531 |       0.11097 |      61.37504 |       3.65478 |      51.41981 |      -0.65834 |     212.05675 |       0.09230 |       1.00000 |     212.05653 |      50.00000 |      -2.00000 |  -10992.07031 |    -116.13116 |  -46744.72266 |       0.02824 |       0.00011 |       0.13615 |       1.38342 |       0.00023 |       0.30142 |       0.30142 | 
      5.30666 |       5.85880 |       5.87619 |       0.27370 |       6.10680 |       6.76220 |       0.31497 |       0.00889 |      -0.40132 |       0.99995 |       0.00197 |      -0.01273 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00060 |       0.00101 |       0.08596 |       0.18023 |       0.80384 |      62.18042 |      65.95769 |       0.21247 |      24.93814 |     168.63040 |       0.01996 |       0.10758 |      61.81847 |       3.65478 |      51.41981 |      -0.65834 |     212.05640 |       0.09238 |       1.00000 |     212.05618 |      50.00000 |      -2.00000 |  -10992.06738 |    -116.13115 |  -46744.70703 |       0.02776 |       0.00005 |       0.13804 |       1.43387 |       0.00024 |       0.30068 |       0.30068 | 
      5.30666 |       5.88346 |       5.90092 |       0.27676 |       6.10680 |       6.79066 |       0.31848 |       0.00893 |      -0.38107 |       0.99999 |       0.00178 |      -0.01303 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00082 |       0.00094 |       0.08114 |       0.16823 |       0.81138 |      62.70136 |      66.47870 |       0.20992 |      25.36725 |     168.97725 |       0.00693 |       0.10429 |      62.26862 |       3.65478 |      51.41981 |      -0.65834 |     212.05602 |       0.09239 |       1.00000 |     212.05580 |      50.00000 |      -2.00000 |  -10992.06445 |    -116.13114 |  -46744.69531 |       0.02722 |       0.00002 |       0.13975 |       1.48452 |       0.00024 |       0.29997 |       0.29997 | 
      5.33117 |       6.02442 |       6.04230 |       0.28243 |       6.13500 |       6.95336 |       0.32501 |       0.00914 |      -0.36431 |       0.99985 |       0.00162 |      -0.01036 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00067 |       0.00162 |       0.07064 |       0.15677 |       0.81998 |      63.17744 |      66.95485 |       0.22545 |      27.52499 |     169.13565 |      -0.02762 |       0.10113 |      62.72012 |       3.65478 |      51.41981 |      -0.65834 |     212.05562 |       0.09243 |       1.00000 |     212.05540 |      50.00000 |      -2.00000 |  -10992.06152 |    -116.13115 |  -46744.67969 |       0.02739 |      -0.00007 |       0.14269 |       1.53554 |       0.00025 |       0.29929 |       0.29929 | 
      5.42811 |       6.21094 |       6.22937 |       0.29221 |       6.24656 |       7.16863 |       0.33627 |       0.00943 |      -0.35086 |       1.00000 |       0.00147 |      -0.00959 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00036 |       0.00259 |       0.05179 |       0.14809 |       0.83447 |      63.55729 |      67.33474 |       0.24186 |      29.18851 |     169.07382 |      -0.01069 |       0.09810 |      63.16825 |       3.65478 |      51.41981 |      -0.65834 |     212.05519 |       0.09240 |       1.00000 |     212.05498 |      50.00000 |      -2.00000 |  -10992.05762 |    -116.13116 |  -46744.66406 |       0.02849 |      -0.00003 |       0.14760 |       1.58808 |       0.00026 |       0.29864 |       0.29864 | 
      5.47594 |       6.33542 |       6.35422 |       0.30083 |       6.30160 |       7.31231 |       0.34619 |       0.00962 |      -0.34016 |       0.99977 |       0.00143 |      -0.00998 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00010 |       0.00266 |       0.03447 |       0.14377 |       0.84877 |      63.77546 |      67.55295 |       0.25731 |      30.25949 |     168.98874 |       0.00722 |       0.09565 |      63.52732 |       3.65478 |      51.41981 |      -0.65834 |     212.05487 |       0.09246 |       1.00000 |     212.05466 |      50.00000 |      -2.00000 |  -10992.05469 |    -116.13116 |  -46744.64844 |       0.02956 |       0.00002 |       0.15191 |       1.63276 |       0.00027 |       0.29812 |       0.29812 | 
      5.52335 |       6.43825 |       6.45736 |       0.30869 |       6.35616 |       7.43100 |       0.35524 |       0.00977 |      -0.33098 |       0.99994 |       0.00146 |      -0.01075 |      -0.00003 |      -0.00202 |      -0.01581 |       0.00015 |       0.00214 |       0.01798 |       0.14202 |       0.86133 |      63.90620 |      67.68369 |       0.27429 |      31.09689 |     168.94128 |      -0.00881 |       0.09323 |      63.86892 |       3.65478 |      51.41981 |      -0.65834 |     212.05452 |       0.09246 |       1.00000 |     212.05431 |      50.00000 |      -2.00000 |  -10992.05176 |    -116.13116 |  -46744.63672 |       0.03046 |      -0.00002 |       0.15586 |       1.67842 |       0.00028 |       0.29763 |       0.29763 | 
      5.54690 |       6.52218 |       6.54154 |       0.32644 |       6.38326 |       7.52787 |       0.37567 |       0.00990 |      -0.20454 |       1.06091 |       0.00201 |      -0.00336 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.00040 |       0.00067 |      -0.00564 |       0.14216 |       0.87033 |      63.94633 |      67.72382 |      -0.36027 |      31.69362 |     168.62225 |      11.10971 |       0.09090 |      64.18771 |       3.65478 |      51.41981 |      -0.65834 |     212.05664 |       0.09496 |       1.00000 |     212.05455 |      50.00000 |      -2.00000 |  -10992.04883 |    -116.13040 |  -46744.62109 |       0.03251 |       0.03236 |       0.16155 |       1.72562 |       0.00028 |       0.29716 |       0.29716 | 
      5.59371 |       6.58942 |       6.60898 |       0.38338 |       6.43713 |       7.60547 |       0.44119 |       0.01000 |       1.06205 |       0.93408 |       0.00128 |       0.01109 |      -0.00003 |      -0.00202 |      -0.01581 |      -0.01980 |      -0.01463 |      -0.06691 |       0.09209 |       0.82752 |      63.71051 |      67.48838 |      -0.95835 |      31.76320 |     166.89348 |      17.41559 |       0.08881 |      64.51888 |       3.65478 |      51.41981 |      -0.65834 |     212.07880 |       0.11764 |       1.00000 |     212.07402 |      50.00000 |      -2.00000 |  -10992.04492 |    -116.12350 |  -46744.60156 |       0.04267 |       0.05903 |       0.18328 |       1.79302 |       0.00030 |       0.29664 |       0.29664 | 
