"_Vind,_kias",|,"_Vind,_keas",|,"Vtrue,_ktas",|,"Vtrue,_ktgs",|,"_Vind,__mph",|,"Vtrue,mphas",|,"Vtrue,mphgs",|,"_elev,yoke1",|,"ailrn,yoke1",|,"ruddr,yoke1",|,"_vect,_rqst",|,"sweep,_rqst",|,"incid,_rqst",|,"dihed,_rqst",|,"retra,_rqst",|,"water,jetts",|,"____Q,rad/s",|,"____P,rad/s",|,"____R,rad/s",|,"pitch,__deg",|,"_roll,__deg",|,"hding,_true",|,"hding,__mag",|,"alpha,__deg",|,"_beta,__deg",|,"hpath,__deg",|,"vpath,__deg",|,"_slip,__deg",|,"__mag,_comp",|,"mavar,__deg",|,"__lat,__deg",|,"__lon,__deg",|,"__alt,ftmsl",|,"__alt,ftagl",|,"___on,runwy",|,"__alt,__ind",|,"__lat,south",|,"__lon,_west",|,"____X,____m",|,"____Y,____m",|,"____Z,____m",|,"___vX,__m/s",|,"___vY,__m/s",|,"___vZ,__m/s",|,"_dist,___ft",|,"_dist,___nm",|,"thro1,_part",|,"thro1,_part",
-8.11708,|,12.0076,|,12.97498,|,9.3508,|,-9.34097,|,14.93134,|,10.7607,|,0.00386,|,0.01087,|,-0.31123,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.07579,|,0.01108,|,0.08905,|,-12.32619,|,-4.29035,|,342.78366,|,346.55652,|,29.07059,|,-5.01429,|,312.20547,|,-65.64597,|,0.32858,|,339.96634,|,3.65525,|,51.42055,|,-0.65913,|,5210.82422,|,4998.06494,|,1,|,4854.47461,|,50,|,-2,|,-11049.41406,|,1406.74829,|,-46838.66406,|,-1.46941,|,-4.3824,|,-1.33264,|,16.828,|,0.00277,|,0.34173,|,0.34173,|
-5.88158,|,12.55044,|,13.56127,|,9.80201,|,-6.7684,|,15.60603,|,11.27995,|,0.0225,|,-0.04103,|,0.08795,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.07135,|,0.00862,|,0.06209,|,-12.6973,|,-4.33225,|,343.22592,|,346.99936,|,28.31822,|,-3.97857,|,313.15298,|,-64.75973,|,0.33047,|,341.04138,|,3.65525,|,51.42055,|,-0.65913,|,5209.4248,|,4996.66064,|,1,|,4885.76807,|,50,|,-2,|,-11049.55957,|,1406.32031,|,-46838.80078,|,-1.56866,|,-4.56116,|,-1.47065,|,18.37516,|,0.00302,|,0.32206,|,0.32206,|
-3.84741,|,13.08148,|,14.13477,|,10.26691,|,-4.42752,|,16.266,|,11.81495,|,0.03343,|,0.00732,|,-0.29717,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.06722,|,0.00647,|,0.0313,|,-13.05333,|,-4.35103,|,343.50159,|,347.27536,|,27.76041,|,-3.14187,|,314.03311,|,-63.99198,|,0.32793,|,342.04126,|,3.65525,|,51.42055,|,-0.65914,|,5207.98193,|,4995.21436,|,1,|,4913.73584,|,50,|,-2,|,-11049.71289,|,1405.87939,|,-46838.94531,|,-1.66509,|,-4.74689,|,-1.60981,|,19.98008,|,0.00329,|,0.30314,|,0.30314,|
-1.93529,|,13.6078,|,14.70313,|,10.74474,|,-2.2271,|,16.92006,|,12.36483,|,0.04723,|,-0.00141,|,-0.21253,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.06323,|,0.00228,|,0.00727,|,-13.40126,|,-4.35803,|,343.63599,|,347.40985,|,27.30025,|,-2.44608,|,314.82062,|,-63.25768,|,0.32696,|,342.97348,|,3.65526,|,51.42056,|,-0.65914,|,5206.4668,|,4993.69434,|,1,|,4939.21875,|,50,|,-2,|,-11049.87598,|,1405.41602,|,-46839.10938,|,-1.76428,|,-4.93634,|,-1.75326,|,21.67717,|,0.00357,|,0.28463,|,0.28463,|
-0.46956,|,13.86139,|,14.97678,|,11.21844,|,-0.54036,|,17.23497,|,12.90995,|,0.02495,|,-0.00139,|,-0.19305,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.05841,|,-0.00215,|,-0.01593,|,-13.73088,|,-4.35795,|,343.63599,|,347.40973,|,27.77642,|,-1.42149,|,315.54254,|,-62.56589,|,0.32606,|,343.81421,|,3.65526,|,51.42056,|,-0.65914,|,5204.91943,|,4992.14258,|,1,|,4961.79297,|,50,|,-2,|,-11050.04688,|,1404.94287,|,-46839.27734,|,-1.8623,|,-5.12224,|,-1.89791,|,23.421,|,0.00385,|,0.26706,|,0.26706,|
0.42944,|,13.73907,|,14.84425,|,11.64514,|,0.49419,|,17.08246,|,13.40099,|,0.00964,|,-0.00186,|,-0.15465,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.05004,|,-0.00609,|,-0.04626,|,-14.03943,|,-4.34459,|,343.48401,|,347.25735,|,29.26041,|,0.39999,|,316.32382,|,-61.62063,|,0.32995,|,344.59949,|,3.65526,|,51.42056,|,-0.65914,|,5203.29541,|,4990.51318,|,1,|,4982.46338,|,50,|,-2,|,-11050.22949,|,1404.44592,|,-46839.46875,|,-1.9664,|,-5.27081,|,-2.05944,|,25.26571,|,0.00416,|,0.24985,|,0.24985,|
1.32232,|,13.71134,|,14.81393,|,12.02539,|,1.52169,|,17.04757,|,13.83858,|,0.00728,|,-0.00125,|,-0.12052,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.04078,|,-0.0094,|,-0.07912,|,-14.30703,|,-4.30553,|,343.15314,|,346.92572,|,30.19023,|,1.81066,|,317.09866,|,-60.50734,|,0.33684,|,345.29776,|,3.65526,|,51.42056,|,-0.65915,|,5201.66113,|,4988.87451,|,1,|,5000.72119,|,50,|,-2,|,-11050.41895,|,1403.94617,|,-46839.66797,|,-2.07328,|,-5.38476,|,-2.23101,|,27.13968,|,0.00447,|,0.23351,|,0.23351,|
2.24229,|,13.75845,|,14.86445,|,12.39106,|,2.58038,|,17.10571,|,14.25938,|,0.00145,|,0.00063,|,-0.09106,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.03202,|,-0.01315,|,-0.11074,|,-14.54121,|,-4.23781,|,342.63492,|,346.40637,|,30.72375,|,2.87506,|,317.82983,|,-59.29562,|,0.34433,|,345.91986,|,3.65526,|,51.42056,|,-0.65915,|,5199.98535,|,4987.19434,|,1,|,5017.26318,|,50,|,-2,|,-11050.62012,|,1403.43335,|,-46839.89062,|,-2.18511,|,-5.48089,|,-2.41237,|,29.0848,|,0.00479,|,0.21765,|,0.21765,|
3.17101,|,13.87181,|,14.98653,|,12.76028,|,3.64913,|,17.24619,|,14.68427,|,0.00997,|,0.00139,|,-0.06333,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.02356,|,-0.01635,|,-0.13857,|,-14.74124,|,-4.14299,|,341.93805,|,345.70798,|,30.97236,|,3.62546,|,318.49213,|,-58.05658,|,0.35142,|,346.45844,|,3.65526,|,51.42056,|,-0.65915,|,5198.26123,|,4985.46631,|,1,|,5032.30176,|,50,|,-2,|,-11050.83398,|,1402.90576,|,-46840.12891,|,-2.30172,|,-5.57041,|,-2.60091,|,31.11192,|,0.00512,|,0.20226,|,0.20226,|
4.07705,|,14.03172,|,15.15889,|,13.12173,|,4.69178,|,17.44455,|,15.10021,|,0.01066,|,-0.00061,|,-0.04682,|,0,|,0,|,0,|,0,|,0,|,0,|,-0.01623,|,-0.01797,|,-0.16061,|,-14.9039,|,-4.02606,|,341.11563,|,344.88379,|,30.98307,|,4.08614,|,319.05103,|,-56.84561,|,0.35672,|,346.89563,|,3.65527,|,51.42057,|,-0.65915,|,5196.5498,|,4983.75146,|,1,|,5045.47803,|,50,|,-2,|,-11051.05469,|,1402.38184,|,-46840.37891,|,-2.41954,|,-5.65143,|,-2.78837,|,33.15174,|,0.00546,|,0.1879,|,0.1879,|
